Name,Picture (DO NOT CHANGE),Provider,DAVIA Base Price,gender,DAVIA category,DAVIA Description
Over the Moon Bundle,cocoluxe_overthemoon.jpg,Coco Luxe,99,Female,Artisan Chocolates,"Wouldn't you be Over the Moon if you received this sublime stack of Coco-luxe confections?! This is a truly exceptional gift, and will thrill any chocolate lover, they might even be inclined to share... or not. Includes one nine-piece box of Peanut Butter Bites, one nine-piece box of Dark Chocolate Truffles, one nine-piece box of Milk Chocolate Truffles, one nine-piece box of Afternoon Truffles, and one nine-piece box of Assorted Dessert Flavor Truffles."
36 Piece Caramel Assortment Box,cocoluxe_caramels.jpg,Coco Luxe,69,Female,Artisan Chocolates,"Make any gift truly memorable with this big, gorgeous box of caramels. A dozen of each of our 3 flavors: Butterscotch Caramels, Brown Sugar Praline Caramel and Shoe Fly Pie Molasses Caramels."
"Chocolate Classic Truffle Collection, 24-pc",moonstruck_chocolate_1.jpg,Moonstruck,59,Female,Artisan Chocolates,"What’s better than 12 of our most popular truffles in one box? How about two of our 12 most popular truffles in one box? That’s what you’ll get with this assortment, all wrapped up in a beautiful blue box and sealed with a bow. 24 piece"
S'Mores Kit,Chocolates9.jpg,Recchiuti,29,Female,Artisan Chocolates,"Relive your childhood campfire memories with this S'Mores kit from Recchiuti. A collection of eight deluxe grahams, signature 85 percent bittersweet chocolate and nine handmade vanilla bean marshmallows combine to make four S'Mores sandwiches or eight open faced treats."
Peanut Butter Bites Truffles 9 pieces,Chocolates5.jpg,Coco Luxe,19,Female,Artisan Chocolates,Nothing goes together quite like peanut butter and chocolate. You'll rediscover that fact with this box of nine artisan Artisan Chocolates blended with peanut butter.
Milk Chocolate Truffles 9 pieces,Chocolates4.jpg,Coco Luxe,19,Female,Artisan Chocolates,"Nine milk chocolate favorites will be found in this box, which contains three pieces each of malted milk, banana split and German chocolate candies."
Assorted Carmels 9 pieces,Chocolates3.jpg,Coco Luxe,19,Female,Artisan Chocolates,"Three pieces each of butterscotch, brown sugar praline, and shoo fly pie caramels await you in this box, each sprinkled with a dash of American salt."
"Fleur de Sel Caramels, 16 pieces",Chocolates20.jpg,Recchiuti,29,Female,Artisan Chocolates,"This box of 16 dark chocolate-covered chewy caramels delivers an optimal balance of salty and sweet. Recchiuti's Fleur de Sel morsels feature delicate floral notes that bring out rich, smoky tones in the caramel."
Afternoon Chocolate Truffles 9 pieces,Chocolates2.jpg,Coco Luxe,19,Female,Artisan Chocolates,"Nine delicate truffles perfect for pairing with your afternoon tea. Each beautiful box contains three of the following flavors: Chai tea, mocha, and green tea."
"Green Box, 8 pieces",Chocolates19.jpg,Recchiuti,29,Female,Artisan Chocolates,"Recchiuti's unique Lemon Verbena and Lavendar Vanilla flavors will be found in The Green Box, creating a delicate mix of fresh herb and tea-infused Artisan Chocolates for the chocolate lover in your life."
"Creativity Explored Box ""Cakes"", 8 pieces",Chocolates16.jpg,Recchiuti,29,Female,Artisan Chocolates,These Creativity Explored artisan Artisan Chocolates are a delicious way to indulge while supporting San Francisco's artists.  $2 from each sale of delectable Burnt Caramel Artisan Chocolates directly supports artists with developmental disabilities. Good for the tastebuds and the soul!
"Peppermint Thins, 24 pieces",Chocolates15.jpg,Recchiuti,19,Female,Artisan Chocolates,"Peppermint and chocolate is a classic combination, and this box of 24 pieces of peppermint thins from Bay Area-based Recchiuti, made with a custom blend of 64% semisweet chocolate, may become your new favorite."
"Red Wine Pairing Box, 9 pieces",Chocolates13.jpg,Recchiuti,29,Female,Artisan Chocolates,"For those who love wine and chocolate, Bay Area chocolatier Recchiuti presents this box of nine gourmet morsels, each with a suggested red wine pairing guaranteed to satisfy all the senses."
Dark Chocolate Truffles 9  pieces,Chocolates1.jpg,Coco Luxe,19,Female,Artisan Chocolates,"A beautiful box of nine artisan dark chocolate truffles that are almost too good to share. Every box has three pieces of each of the following flavors: Devil's food, double cherry, and after-dinner mint."
"Chocolate Bees, 9 pieces",Chocolate_Bees_2_400_cr.jpg,John & Kira's,29,Female,Artisan Chocolates,"Each salted caramel chocolate bee seems to be adored by just about everyone that happens to be lucky enough to receive one as a gift (just check out the reviews below).  Not chewy like a store bought caramel, our bee Artisan Chocolates have a liquid caramel center and a clear, caramelized honey taste. This unique flavor comes naturally from the fragrant basswood honey, supplied by the Draper Family Apiaries in Millerton, PA. Once filled, each of the nine bees is carefully painted by hand with a paper-thin layer of yellow and black cocoa butter. Guaranteed to please the palate just as much as the eye."
"Rust Box, 8 pieces",Chocolates18.jpg,Recchiuti,29,Female,Artisan Chocolates,"Chocolate dreams will be realized with this eight-piece box of luxury Artisan Chocolates that makes for a perfect ""Thank You"" gift. Eight pieces of deluxe chocolate will be found in the box, including Recchiuti's Rose Caramel and Kona Coffee flavors."
"Caramels to the Third Power, 24 pieces",Chocolates17.jpg,Recchiuti,29,Female,Artisan Chocolates,"If you're looking for caramel overload, this is it. A 24-piece box containing some of the most amazing caramels from Recchiuti. Included in the box are pices of Fleur de Sel Caramel, a new butterscotch caramel, and dark chocolate caramels. "
"Key Lime Pears, 12 pieces",Chocolates14.jpg,Recchiuti,29,Female,Artisan Chocolates,Paper-thin slices of pear are delicately dipped in chocolate to present this wonderfully tart treat from Recchiutu in the Bay Area.
"Bar Quattro, 4 bars",Candy11.jpg,Recchiuti,29,Male,Artisan Chocolates,"Tied with an elegant satin bow, these chocolate bars are more than a snack, they're a very classy gift. Four different bars, each with their own personality and purpose, including bittersweet chocolate, semisweet chocolate, dark milk chocolate, and the feve (a bittersweet bar with crunchy cacao nibs.) "
"Chocolate Figs, 6 pieces",20_21_large_cr.jpg,John & Kira's,29,Male,Artisan Chocolates,"These chocolate figs are as good as they get. John & Kira import tender, organic dried Calabacita figs from a small family farm in Spain then fill them with a silky smooth, whiskey infused Valrhona dark chocolate ganache. The press these figs have received would make any aspiring actor envious. They appeared, with John and Kira of course, on the Martha Stewart Show and have been featured not once but twice in Oprah's magazine. Wine Spectator loves them as well.  They are then hand-dipped in 62% dark chocolate and carefully placed in their own gift box . . . finished with a letter-pressed card."
Gourmet Roasted Nuts (2 lbs.),NewFood11.jpg,Gary Poppins,29,Male,Confections,"Your recipient will go nuts for this 2 lb. tin of almonds, cashews, peanuts and pecans from Gary Poppins. All nuts are fresh roasted and packed fresh from the roaster."
Almond Toffee (8 oz.),johnkira_confections_1.jpg,John & Kira's,29,Male,Confections,"The perfect comfort food, our Almond Toffee is mixed by hand in small batches and crafted to be both decadent and delicious. We begin with real butter and sugar, stir in Almonds lovingly grown by Chris and Marcie Baugher at Baugher Ranch Organics in Orland, California, and then top it with 62% Valrhona dark chocolate. The almonds can be bought directly at the Baugher Ranch website . . . www.bro-almonds.com. 8 oz."
"Irresistible Fruit Squares, 28 pieces",Fruit_Squares_Super_Close_4_cr.jpg,John & Kira's,39,Male,Confections,"This 28pc. fruit square assortment highlights strawberries, raspberries, blackberries and apricots. To make them, John & Kira heat pure fruit puree to a high temperature, mix in sugar and pectin in small amounts, then slowly cook the mixture until it arrives at just the right consistency. The puree is then poured into a square frame, allowed to cool, then cut into one and a quarter inch squares. Finally, the cut squares are tossed in organic sugar three separate times over a period of two days. They are as fresh and supple as could be and are better than any French pate de fruits we have found. Gluten-Free."
"New Orleans Finest - Gift Box, 1 lb.",Candy17.jpg,Southern Candymakers,29,Male,Confections,"This irresistible combination of creamy pralines, tortues, almond toffee and Mississippi mud is an invitation to the best confections that New Orleans has to offer, all Southern Candymakers."
"Sir Francis Bacon Peanut Brittle, 8 oz. box",Candy15.jpg,Sir Francis Bacon,19,Male,Confections,"Does bacon plus peanut brittle equal genius? If your special recipient is a bacon lover, he might think so after trying this unique treat from Sir Francis Bacon. When peanut brittle is infused with bacon flavors, it creates a sweet, salty, and savory treat that will make any bacon lover come back for more."
"Pates de Fruits, 20 pieces",Candy10.jpg,Recchiuti,29,Male,Confections,"The dazzling flavors of fresh fruit burst from each elegant square gele. A long time French favorite, this box of 20 pieces includes four flavors: Morello cherry, passion fruit, blueberry, and pear lime. "
"Hazelnut Toffee, 8 ounces",59_119_large_cr.jpg,John & Kira's,29,Male,Confections,"The perfect comfort food, this Hazelnut Toffee is hand-mixed in small batches and crafted to be both decadent and delicious. John & Kira begin with real butter and sugar, stir in Barcelona Hazelnuts grown by the Holmquist family at their orchard in Lynden, Washington, and then top it with 62% Valrhona dark chocolate."
The Perfect Pear Gift Basket,Fruit1.jpg,D'Anjou Pears,19,Male,Pantry,The Perfect Pear Gift Basket offers your special recipient the irresistibly sweet taste of fresh hand-picked D'Anjou pears to create a gourmet treat unlike any other. Includes 3 red D'Anjou pears and 6 D'Anjou pears arriving in an attractive wooden crate.
"Tasty Italian-inspired Pork and Beef Meatballs, Set of 50",NewFood4.jpg,Meatball Collection,59,Male,Meats,"Based on a pair of favorite Williams-Sonoma recipes, these savory meatballs are sure to be pleasing. Two classic varietes are included in this 50-meatball pack of easy-to-prepare and delicious to eat meatballs."
Buffalo Jerky,Meats20.jpg,Figis,29,Male,Meats,"Buffalo jerky is a genuine treat of the American plains. One taste of this lean, robust, and meaty treat and your special recipient will know what it's so popular. It's a delicious gift for meat lovers, and delivered in western-style cloth bags. "
"Grass-Fed Australian Beef Tenderloin, 5-5.5 lbs.",GoodMeats9.jpg,D'Artagnan,119,Male,Meats,"Beef tenderloin: Just the words make the average meat-eater begin to drool. This grass-fed beef tenderloin is amazingly juicy, with an intense, rich flavor and melt-in-your-mouth texture. It comes from cattle pasture raised by small Australian farms."
"Berkshire Pork Milanese Chops, 4 1 lb. chops",GoodMeats8.jpg,D'Artagnan,49,Male,Meats,"Dry, overcooked pork chops are a thing of the past with D'Artagnan's richly-marbled Berkshire Milanese chops, perfect for quick weeknight cooking. (Four 1-lb. chops)"
Duck Leg Confit (6 pieces),GoodMeats6.jpg,D'Artagnan,49,Male,Meats,"D'Artagnan Meats takes the meatiest, most succulent moulard duck legs they can find and slowly stews them with herbs and spices to create their delicious signature duck leg confit, also known as ""preserved"" duck leg or confit de canard. (Six 5-ounce pieces in each order.)"
24 2-ounce Tenderloin Medallions,GoodMeats5.jpg,Allen Brothers,89,Male,Meats,"Allen Brothers' buttery beef medallions are cut from prized tenderloins. Also known as tournedos, these two-ounce mini filets are the perfect addition to a mixed grill or kebabs."
Four 10-ounce USDA Prime Boneless Ribeye Steaks,GoodMeats4.jpg,Allen Brothers,119,Male,Meats,"Thick-cut from Allen Brothers' exceptional USDA Prime rib roasts, these wet-aged ribeye steaks are distinguished by their rich marbling and natural ""flavor kernel"" that runs through each steak."
Four 14-ounce USDA Prime Boneless Strip Steaks,GoodMeats3.jpg,Allen Brothers,189,Male,Meats,A fine texture and rich marbling combined with Allen Brothers' special wet aging process give these 1.75 inch thick steaks their robust flavor and juicy tenderness.
12 Maryland-Style Crab Cakes,GoodMeats20.jpg,Allen Brothers,79,Male,Meats,"These crab cakes are handmade using a century-old Maryland recipe that calls for 65 percent sweet, meaty chunks -- not shavings -- of fresh, all-natural blue crab, plus a delicately flavored blend of breadcrumbs, mayonnaise, mustard and spices. Each order includes six packages of two crab cakes."
Four 10-ounce USDA Choice Filet Mignon,GoodMeats2.jpg,Allen Brothers,139,Male,Meats,"Allen Brothers' complete-trim filets mignon are the leanest cuts of USDA Choice tenderloin available. They are trimmed of all exterior fat, yet marbled enough to deliver full flavor."
12 Eight-ounce Wagyu Steak Burgers,GoodMeats19.jpg,Allen Brothers,89,Male,Meats,"Put on your ""Burger Lover"" grilling apron and treat your recipient to Allen Brothers' Kobe-style Wagyu steak burger. This beef is quality enough to enter into a best burger competition, and anyone who tries it will consider themselves a winner."
12 Eight-ounce Bison Burgers,GoodMeats18.jpg,Allen Brothers,99,Male,Meats,"Whether you're looking for a change of taste or a change in diet, Allen Brothers' all-natural, 100 percent bison meat patties are a delicious alternative to beef. They're low in fat, cholesterol and calories and high in protein, juiciness and flavor."
Four 10-ounce Bison Sirloin Strip Steaks,GoodMeats17.jpg,Allen Brothers,129,Male,Meats,"For a full-flavored meat experience, you can't beat Allen Brothers' bison sirloin strip steaks. Grilled, broiled, or sauteed, they're sure to expand the meat-loving horizons of your recipient."
Four 5-6 ounce Maine and Canadian Lobster Tails,GoodMeats16.jpg,Allen Brothers,119,Male,Meats,"Firm and flavorful, with a distinctly sweet, buttery taste, these lobster tails sourced from Maine and the coast of Canada are a perfect complement for corn and potatoes, or any other side that invites a succulent piece of lobster along its side."
Four 12-ounce Wagyu Ribeye Steaks,GoodMeats15.jpg,Allen Brothers,229,Male,Meats,"Also called Delmonico steak, thick-cut from Allen Brothers' succuluent rib roasts, these steaks are distinguished by their rich marbling and the natural ""flavor kernel"" that runs through each cut. It is this marbling that slowly melts and bastes the meat throughout the cooking process, imparting a mellow, prime rib flavor."
"Ventreche - French Pancetta, 2.75 lbs.",GoodMeats11.jpg,D'Artagnan,49,Male,Meats,"D'Artagnan Ventreche, or French pancetta, is salt-cured and flavored with pepper and garlic -- makes a perfect pairing with pasta, fish and chicken, as well as a great addition to soups, stews and Cassoulet. "
Four 20-22 oz. Domestic Pasture-Raised Bone In Beef Ribeye Steak,GoodMeats1.jpg,D'Artagnan,149,Male,Meats,"These boneless beef ribeye steaks are a carnivore's dream come true! Weighing in at 20-22 ounces each, these mouthwatering steaks are rich with clean beef flavor, ultra juicy, and meltingly tender."
